類別	名稱	地址	電話
診所	德馨中醫診所	桃園市桃園區桃鶯路186-1號	03-3712988
診所	明佑牙醫診所	桃園市桃園區桃鶯路286號	03-3634621
診所	名華牙醫診所	桃園市桃園區桃鶯路293號	03-3628466
診所	海格口腔外科牙醫診所	桃園市桃園區桃鶯路303號1樓	03-3760198
診所	博泰中醫診所	桃園市桃園區桃鶯路325號1樓	03-3638885
診所	展新牙醫診所	桃園市桃園區桃鶯路382─1號1樓	03-3679631
診所	尚群中醫診所	桃園市桃園區桃鶯路486號1樓	03-3755278
診所	源芳牙醫診所	桃園市桃園區泰山里中山路418號	03-3387303
診所	馨田中醫診所	桃園市桃園區泰昌八街23號1樓	03-2288361
診所	瑞宏牙醫診所	桃園市桃園區國強一街255巷2號1樓及257號1樓	03-3705767
診所	薇拉牙醫診所	桃園市桃園區國強一街412號2樓	03-3692581
診所	脈田中醫診所	桃園市桃園區國聖1街162號1樓	03-3691068
診所	佳樂牙醫診所	桃園市桃園區國聖一街12號	03-3783268
診所	安心堂中醫診所	桃園市桃園區國聖二街2號1樓	03-3787578
診所	國鼎牙醫診所	桃園市桃園區國鼎一街38號	03-3787676
診所	鄭建祥中醫診所	桃園市桃園區國際路一段1040號	03-2207372
診所	新晴美學牙醫診所	桃園市桃園區國際路一段1170號1樓及2樓	03-2205347
診所	誠品牙醫診所	桃園市桃園區國際路一段1194號1Ｆ	03-2200935
診所	安慶中醫診所	桃園市桃園區國際路一段1214號	03-2200700
診所	聖善中醫診所	桃園市桃園區國際路一段98巷50號1樓	03-3611528
診所	錦生牙醫診所	桃園市桃園區國際路一段一一五二號	03-2200991
診所	至仁堂中醫診所	桃園市桃園區國際路二段20號1樓	03-3603773
診所	桃園中醫診所	桃園市桃園區國際路二段7號	03-3709962
診所	豐成牙醫診所	桃園市桃園區國豐六街188號	03-2170790
診所	品汎牙醫診所	桃園市桃園區莊一街21號1樓	03-2160797
診所	循映牙醫診所	桃園市桃園區莊一街78號1至5樓	03-3566618
診所	立洋牙醫診所	桃園市桃園區莊二街一八四、一八六號	03-3172440
診所	昕生診所	桃園市桃園區莊敬路1段366號1樓	03-3525151
診所	康禾牙醫診所	桃園市桃園區莊敬路1段370號	03-3150852
診所	優尚牙醫診所	桃園市桃園區莊敬路一段171號1至2樓	03-3553583
診所	宗賢牙醫診所	桃園市桃園區莊敬路一段191號地下1樓、1、2樓	03-3589826
診所	慧安耳鼻喉科診所	桃園市桃園區莊敬路二段78號1樓	03-3013223
診所	榮安牙醫診所	桃園市桃園區莊敬路二段86號	03-2151876
診所	向日葵牙醫診所	桃園市桃園區復興路112號4樓之2	03-3476997
診所	四維牙醫診所	桃園市桃園區復興路175號	03-3358519
診所	簡家醫診所	桃園市桃園區復興路18號1樓	03-3330356
診所	漢醫中醫診所	桃園市桃園區復興路405號	03-3313551
診所	謝宗佑診所	桃園市桃園區復興路55之2號1樓	03-3363000
診所	惠生婦產科診所	桃園市桃園區復興路四ＯＯ號	03-3397711
診所	溫牙醫診所	桃園市桃園區朝陽里朝陽街62號	03-3352928
診所	朝陽牙醫診所	桃園市桃園區朝陽街一段77號	03-3313595
診所	百齡牙醫診所	桃園市桃園區雲林里桃鶯路106號	03-3622799
診所	大宇牙醫診所	桃園市桃園區雲林里桃鶯路229號	03-3632013
診所	何牙醫診所	桃園市桃園區雲林里桃鶯路231巷1號	03-3616611
診所	黃政平中醫診所	桃園市桃園區慈文路151號1樓	03-3561828
診所	國元中醫診所	桃園市桃園區慈文路197號	03-3168161
診所	煌猷牙醫診所	桃園市桃園區慈文路309號1樓之2	03-3555849
診所	慈美牙醫診所	桃園市桃園區慈文路559號1樓、2樓	03-2150002
診所	領航數位牙醫診所	桃園市桃園區慈文路87號1樓	03-3267277
診所	昌達中醫診所	桃園市桃園區新埔七街5號	03-3161016
診所	彥靚診所	桃園市桃園區新埔六街183號2樓	03-3569252
診所	昶佳牙醫診所	桃園市桃園區新埔六街197號1樓及2樓	03-3555222
診所	維心中醫診所	桃園市桃園區經國路192號1樓	03-3022216
診所	正文身心診所	桃園市桃園區經國路196號1樓、2樓	03-3151658
診所	家欣牙醫	桃園市桃園區經國路205號	03-3166828
診所	陽光聯合牙醫診所	桃園市桃園區經國路234號1樓、4樓	03-3161196
診所	禾騏牙醫診所	桃園市桃園區經國路441號1－2樓	03-2751598
診所	澄禾牙醫診所	桃園市桃園區經國路56號1、2樓	03-3567656
診所	葡萄藤牙醫診所	桃園市桃園區經國路62號1─2樓	03-3167232
診所	何良善牙醫診所	桃園市桃園區福林里介壽路513號	03-3770300
診所	陳錦川中醫診所	桃園市桃園區福林里長沙街38號	03-3610373
診所	惠安眼科診所	桃園市桃園區廣文街28號	03-3329703
診所	華麗診所	桃園市桃園區廣文街42號	03-3378788
診所	芊晴牙醫診所	桃園市桃園區蓮埔街16號1樓	03-3169559
診所	龍安風澤中醫診所	桃園市桃園區龍安街157號1樓	03-3691920
診所	龍侒中醫診所	桃園市桃園區龍安街161之1號	03-3798780
診所	京品牙醫診所	桃園市桃園區龍安街174之1號1樓及夾層	03-3698995
診所	龍安牙醫診所	桃園市桃園區龍安街62號	03-3787800
診所	艾美牙醫診所	桃園市桃園區龍安街6號1樓之1	03-3695559
診所	宏國牙醫診所	桃園市桃園區龍岡里上海路106號1Ｆ	03-3796266
診所	佳德牙醫診所	桃園市桃園區豐林里建國路235號一樓	03-3635353
診所	恩禾中醫診所	桃園市桃園區鎮撫街160號	03-3351509
診所	寶順診所	桃園市桃園區寶山街239號1樓、2樓	03-3560127
診所	寶山牙醫診所	桃園市桃園區寶山街63號1樓	03-3566631
診所	瑞安牙醫診所	桃園市桃園區寶山街76號1樓、2樓	03-3587675
診所	日揚中醫診所	桃園市桃園區寶慶路182號1─2樓	03-3582569
診所	佑霖診所	桃園市桃園區寶慶路372號2樓、380號1樓、2樓	03-3026166
診所	偉恩牙醫診所	桃園市復興區三民里11鄰31號	03-3825431
診所	佑明診所	桃園市新屋區三民路518號1、2、3樓	03-4970568
診所	佑達牙醫診所	桃園市新屋區中山路258號1樓	03-4870608
診所	保安堂中醫診所	桃園市新屋區中山路306號	03-4970270
診所	綺美牙醫診所	桃園市新屋區中山路325號	03-4972000
診所	長青牙醫診所	桃園市新屋區中山路416號、416-1號	03-4773367
診所	祥安中醫診所	桃園市新屋區新生里中興路20號	03-4776095
診所	讚生診所	桃園市楊梅區大平街29號	03-4786366
診所	東廣中醫診所	桃園市楊梅區大成路132號	03-4756296
診所	天祥牙醫診所	桃園市楊梅區大成路156號1樓	03-4757766
診所	永康牙醫診所	桃園市楊梅區大成路194號	03-4754516
診所	德安中醫診所	桃園市楊梅區大成路202號	03-4782532
診所	統一中醫診所	桃園市楊梅區大華街69號1樓	03-2889569
診所	輝煌診所	桃園市楊梅區大模街8號	03-4787690
診所	潔心牙醫診所	桃園市楊梅區中興路115號1樓	03-4811777
診所	凃牙醫診所	桃園市楊梅區中興路127號	03-4823424
診所	永生牙醫診所	桃園市楊梅區中興路66號	03-4827532
診所	中興中醫診所	桃園市楊梅區文化街122號1樓	03-4810347
診所	益新牙醫診所	桃園市楊梅區文化街208號	03-4813465
診所	永勝中醫診所	桃園市楊梅區四維二路139號1樓、2樓	03-4315557
診所	連美牙醫診所	桃園市楊梅區四維路13、15號1、2樓	03-4825025
診所	華聖牙醫診所	桃園市楊梅區四維路182號1樓	03-4815789
診所	宸康牙醫診所	桃園市楊梅區民族路5段245號	03-4902368
診所	新新牙醫診所	桃園市楊梅區永美路213號	03-4815803
診所	禾豐中醫診所	桃園市楊梅區永美路219號	03-4822623
診所	家誼診所	桃園市楊梅區永美路367巷1弄1-1號1至3樓	03-4314789
診所	凱特美學診所	桃園市楊梅區永美路385－8號1樓	03-4818018
診所	康潔美牙醫診所	桃園市楊梅區永美路389之1號1、2、3樓	03-4811051
診所	天心中醫診所	桃園市楊梅區永美路94號1樓	03-4811345
診所	大愛中醫診所	桃園市楊梅區永美路三一九號	03-4315609
診所	聖合牙醫診所	桃園市楊梅區光復街12號1樓	03-4752211
診所	連婦產科診所	桃園市楊梅區光復街22號1樓	03-4752868
診所	東太牙醫診所	桃園市楊梅區光華街12號1樓、2樓	03-4853361
診所	當代楊新牙醫診所	桃園市楊梅區光華街28號1樓	03-4759818
診所	新岡診所	桃園市楊梅區成功路二二之一號一樓	03-4723997
診所	民生診所	桃園市楊梅區武營街13號	03-4782158
診所	高葉美學牙醫診所	桃園市楊梅區金山街342號1樓及2樓	03-4881555
診所	陳怡年中醫診所	桃園市楊梅區青山一街267號	03-4964546
診所	榮安中醫診所	桃園市楊梅區紅梅里大華街33號	03-4753575
診所	桃園市楊梅區衛生所	桃園市楊梅區校前路409號1、2樓	03-4750151
診所	勝遠診所	桃園市楊梅區揚江里梅山東街150號	03-4757865
診所	鈺恩牙醫診所	桃園市楊梅區新成路137號1樓及139號1樓	03-4850075
診所	德安聯合診所	桃園市楊梅區新成路153號	03-4782200
診所	自然牙醫診所	桃園市楊梅區新成路223號	03-4783751
診所	信彰中醫診所	桃園市楊梅區新成路38號	03-4854006
診所	康潔牙醫診所	桃園市楊梅區新成路41號	03-4757770
診所	上誠牙醫診所	桃園市楊梅區新成路48號1樓及2樓	03-4851188
診所	弘仁小兒科診所	桃園市楊梅區新成路51號	03-4882255
診所	曾世鳴皮膚科診所	桃園市楊梅區新成路55號1樓	03-4883870
診所	禛康中醫診所	桃園市楊梅區新成路84號	03-4784083
診所	慧民中醫診所	桃園市楊梅區新梅6街57號、59號1樓	03-4785551
診所	楊明牙醫診所	桃園市楊梅區新農街403號1樓及405號1樓	03-4850777
診所	新芳牙醫診所	桃園市楊梅區新農街9號1樓	03-4780808
診所	愛德牙醫診所	桃園市楊梅區楊江里武營街52號	03-4757112
診所	林保坤診所	桃園市楊梅區楊梅里大成路73號	03-4753226
診所	謝中孚診所	桃園市楊梅區楊新北路13號2樓及15號3樓	03-4755813
診所	品叡牙醫診所	桃園市楊梅區瑞溪路二段156號1樓	03-4826609
診所	凱虹牙醫診所	桃園市楊梅區瑞福街97號1樓	03-4815063
診所	乙仁中醫診所	桃園市楊梅區萬大路6號	03-4316230
診所	鍾雲祥小兒科診所	桃園市楊梅區福德街107號	03-4823250
診所	新楊梅診所	桃園市楊梅區環東路476號1、2樓	03-4856530
診所	杏昌牙醫診所	桃園市龍潭區九龍里中興路431號1樓、2樓	03-4896600
診所	第一牙醫診所	桃園市龍潭區三林里建國路25巷3號	03-4803038
診所	博隆牙醫診所	桃園市龍潭區中山里東龍路276號	03-4792992
診所	徐中醫診所	桃園市龍潭區中山里東龍路279號	03-4792767
診所	安心親子耳鼻喉科診所	桃園市龍潭區中正路140號1樓	03-4095168
診所	安聲中醫診所	桃園市龍潭區中正路171號	03-4803913
診所	良德牙醫診所	桃園市龍潭區中正路185巷20號1樓、2樓	03-4992839
診所	瑞龍牙醫診所	桃園市龍潭區中正路272號1樓	03-4805289
診所	明揚眼科診所	桃園市龍潭區中正路91號	03-4805606
診所	恩典中醫診所	桃園市龍潭區中正路龍華段312號1樓、314號1樓、316號1樓	03-4891513
診所	恩惠中醫診所	桃園市龍潭區中正路龍華段312號1樓、314號1樓、316號1樓	03-4891513
診所	欣揚牙醫診所	桃園市龍潭區中興路305號1樓、2樓	03-4991694
診所	維安牙醫診所	桃園市龍潭區中興路352號	03-4995738
診所	有春中醫診所	桃園市龍潭區中興路396之21號	03-4708092
診所	百年診所	桃園市龍潭區中豐路298號1樓及3樓、300號3樓	03-4708585
診所	中豐中醫診所	桃園市龍潭區中豐路338號1樓	03-4707745
診所	澔宇牙醫診所	桃園市龍潭區中豐路349號1樓及2樓	03-4801782
診所	傅牙醫診所	桃園市龍潭區五福街11號	03-4705671
診所	國家中山科學研究院石園中醫診所	桃園市龍潭區文化路6巷35號1樓	03-4712201
診所	龍潭陳牙醫診所	桃園市龍潭區北龍路212號	03-4799279
診所	龍潭喬治牙牙醫診所	桃園市龍潭區北龍路250號一樓	03-4805500
診所	弘揚診所	桃園市龍潭區北龍路252號	03-4708256
診所	龍潭竹善堂中醫診所	桃園市龍潭區北龍路275號1樓	03-4807333
診所	龍恩診所	桃園市龍潭區北龍路42號1樓、2樓	03-4090988
診所	偉翔牙醫診所	桃園市龍潭區北龍路53號	03-4994117
診所	宇康診所	桃園市龍潭區北龍路75號4樓	03-4090641
診所	台林牙醫診所	桃園市龍潭區民族路294巷9號	03-4700529
診所	龍華牙醫診所	桃園市龍潭區東龍路141號1樓	03-4095515
診所	仁心中醫聯合診所	桃園市龍潭區東龍路180號	03-4992486
診所	青蘋果牙醫診所	桃園市龍潭區建國路46號1樓	03-4709489
診所	明德牙醫診所	桃園市龍潭區建國路81號	03-4895848
診所	詠嘉牙醫診所	桃園市龍潭區烏林里中豐路291號	03-4897883
診所	學林牙醫診所	桃園市龍潭區高源里渴望路428號Ｂ1	03-4072387
診所	北龍牙醫診所	桃園市龍潭區華南路1段117號1樓	03-4798475
診所	名人牙醫診所	桃園市龍潭區華南路一段十四號	03-4899110
診所	福生中醫診所	桃園市龍潭區龍元路57號	03-4792983
診所	林國禎牙醫診所	桃園市龜山區山德里山鶯路23號	03-3207188
診所	口生牙醫診所	桃園市龜山區山德里山鶯路38號	03-3334903
診所	佳世達科技股份有限公司附設醫務室	桃園市龜山區山鶯路157號	03-3595000
診所	良安診所	桃園市龜山區山鶯路70號	03-3361886
診所	吳天聰內科診所	桃園市龜山區中興路261號1Ｆ	03-3206888
診所	怡綵牙醫診所	桃園市龜山區中興路312號1樓	03-3207258
診所	東昇牙醫診所	桃園市龜山區中興路372之3號	03-3501105
診所	啟安牙醫診所	桃園市龜山區中興路412號1樓	03-3299055
診所	龜山中醫診所	桃園市龜山區中興路一段111號1樓	03-3203200
診所	康普牙醫診所	桃園市龜山區中興路一段99號1、2樓	03-3500337
診所	六順診所	桃園市龜山區文七五街86號1—3樓	03-3277696
診所	吉思牙醫診所	桃園市龜山區文化一路10巷22號1樓	03-3975696
診所	悅兒親子中醫診所	桃園市龜山區文化一路10巷26號1樓	03-3271368
診所	日安親子診所	桃園市龜山區文化一路10巷41弄1號1樓	03-3277271
診所	劉建宏診所	桃園市龜山區文化七路31號1樓	03-3962313
診所	立潔牙醫診所	桃園市龜山區文化二路34巷14弄30號1樓	03-3288383
診所	安允牙醫診所	桃園市龜山區文化二路38－10號1樓	03-3273810
診所	小哈佛牙醫診所	桃園市龜山區文化二路38-3號2樓之7	03-3960136
診所	安允中醫診所	桃園市龜山區文化二路38之10號1樓	03-3273810
診所	睿凡牙醫診所	桃園市龜山區文化三路315號1樓	03-3277722
診所	欣庚診所	桃園市龜山區文化三路506－512、516號1樓	03-2114567
診所	江冠宏中醫診所	桃園市龜山區文化三路568號1樓	03-3180578
診所	廣欣中醫診所	桃園市龜山區文化三路68號1樓、70號1樓	03-3185199
診所	聯生中醫診所	桃園市龜山區文昌一街5號1樓	03-2115634
診所	恆美牙醫診所	桃園市龜山區文青路207號1樓、2樓	03-3278800
診所	群英牙醫診所	桃園市龜山區文學路246號1樓	03-3973460
診所	無尾熊診所	桃園市龜山區文學路259號1樓	03-3278068
診所	馮曄中醫診所	桃園市龜山區文興路213號1樓	03-3182188
診所	正麒診所	桃園市龜山區文興路33巷6號1樓	03-3286550
診所	福恩診所	桃園市龜山區光?路151號1樓及夾層	03-3201919
診所	嘉冠牙醫診所	桃園市龜山區同心二路21號1樓	03-2133129
診所	孫福龍牙醫診所	桃園市龜山區自強南路694號1樓	03-3500618
診所	蘇宗偉身心診所	桃園市龜山區宏慶街24號1樓	02-82003001
診所	順天牙醫診所	桃園市龜山區宏慶街2號	02-82091097
診所	安庚內科診所	桃園市龜山區南祥路46號2樓、50號1至2樓、54號2樓	03-3528088
診所	維格皮膚科診所	桃園市龜山區南祥路54號1樓	03-3528088
診所	正光牙醫診所	桃園市龜山區南祥路55號	03-3526313
診所	梵谷美學牙醫診所	桃園市龜山區南祥路83號1樓、85號1樓	03-3228818
診所	佑全中醫診所	桃園市龜山區頂興路34－1號1樓	03-3299726
診所	禾欣牙醫診所	桃園市龜山區復興一路108巷1號	03-3277895
診所	元翔中醫診所	桃園市龜山區復興一路144號2樓	03-3962698
診所	長春藤牙醫診所	桃園市龜山區復興一路212巷1號1樓	03-3280006
診所	青山牙醫診所	桃園市龜山區復興一路30巷40號	03-3183268
診所	華雅牙醫診所	桃園市龜山區復興一路332號1樓	03-3185985
診所	泓順中醫診所	桃園市龜山區復興一路340號	03-3285848
診所	德馨診所	桃園市龜山區復興三路3-2號	03-3181458
診所	蒲公英牙醫診所	桃園市龜山區復興北路32號1－2樓	03-3970132
診所	通發中醫診所	桃園市龜山區新路里自強南路698號1Ｆ	03-3201779
診所	明德中醫診所	桃園市龜山區新路里萬壽路2段1046號	03-3204328
診所	龜山楊牙醫診所	桃園市龜山區新路里萬壽路二段1008號	03-3203929
診所	宋洪德牙醫診所	桃園市龜山區新路里萬壽路二段1052號	03-3205345
診所	璞玉牙醫診所	桃園市龜山區新樂街26號1樓及2樓	03-3206966
診所	卓越耳鼻喉科診所	桃園市龜山區萬壽路1段107號1樓、109號1樓	02-82000580
診所	永樂耳鼻喉科診所	桃園市龜山區萬壽路1段107號1樓、109號1樓	02-82000580
診所	博樂牙醫診所	桃園市龜山區萬壽路1段230號1－2樓	02-82090106
診所	新迴龍診所	桃園市龜山區萬壽路1段273號1樓	02-82001033
診所	卓越內科診所	桃園市龜山區萬壽路一段107號1樓、109號1樓	02-82000151
診所	潔白牙醫診所	桃園市龜山區萬壽路一段394號1樓	02-82005700
診所	全家牙醫診所	桃園市龜山區萬壽路二段1002之2號1樓	03-3506743
診所	樂山中醫診所	桃園市龜山區萬壽路二段1088號1樓	03-3599790
診所	許忠信小兒科診所	桃園市龜山區萬壽路二段1095號	03-3505367
診所	王治國牙醫診所	桃園市龜山區萬壽路二段1106號1樓	03-3502530
診所	健順中醫診所	桃園市龜山區萬壽路二段1152號	03-3203133
診所	泓泰牙醫診所	桃園市龜山區萬壽路二段1242-1號1、2樓及1242-2號1、2樓	03-3192900
診所	德盛堂中醫診所	桃園市龜山區萬壽路二段943號	03-3509666
診所	夏德仁牙醫診所	桃園市龜山區萬壽路二段945號	03-3503768
診所	光華牙醫診所	桃園市龜山區萬壽路二段967號	03-3295542
診所	靚立美牙醫診所	桃園市龜山區萬壽路二段980號1樓	03-3191286
診所	龜山風澤中醫診所	桃園市龜山區萬壽路二段982號1樓	03-3500338
診所	財團法人銘傳大學附設醫務室	桃園市龜山區德明路5號	03-3507001
診所	樂心牙醫診所	桃園市龜山區龍新街58號1樓	02-82008696
診所	福華牙醫診所	桃園市龜山區龍壽里萬壽路一段243號	02-82092899
診所	宏福牙醫診所	桃園市蘆竹區上竹里大竹路555號	03-3233084
診所	長興牙醫診所	桃園市蘆竹區大竹里大新路19號	03-3137122
診所	京典牙醫診所	桃園市蘆竹區大竹路428之10號1、2樓	03-3137575
診所	優仕美牙醫診所	桃園市蘆竹區大竹路468號1樓、2樓	03-3136677
診所	游眼科診所	桃園市蘆竹區大竹路504之4號	03-3139591
診所	聖欣小兒科診所	桃園市蘆竹區大竹路號531號	03-3231010
診所	京緻牙醫診所	桃園市蘆竹區大新路123號1樓及2樓	03-3233329
診所	新亞牙醫診所	桃園市蘆竹區中山路137號1樓	03-2228226
診所	臻品牙醫診所	桃園市蘆竹區中山路183號1樓	03-2122200
診所	佳揚牙醫診所	桃園市蘆竹區中山路220號1樓	03-3529782
診所	華盛頓美學牙醫診所	桃園市蘆竹區中山路52號1樓及1樓夾層	03-3226333
診所	糸爭瑩牙醫診所	桃園市蘆竹區中山路71號1樓	03-3121887
診所	登峰美學牙醫診所	桃園市蘆竹區中正路120號	03-2127990
診所	登峰牙醫診所	桃園市蘆竹區中正路122號1樓及2樓	03-2125880
診所	健煜中醫診所	桃園市蘆竹區中正路126號	03-2126882
診所	天仁牙醫診所	桃園市蘆竹區中正路132號	03-3525789
診所	育禾身心診所	桃園市蘆竹區中正路138號1樓	03-2124688
診所	家恩牙醫診所	桃園市蘆竹區中正路157號	03-2222512
診所	翔美牙醫診所	桃園市蘆竹區中正路235號1、2、3樓	03-3225272
診所	品鈞中醫診所	桃園市蘆竹區中正路255號2樓	03-2227007
診所	紘渼牙醫診所	桃園市蘆竹區中正路332號1至3樓	03-3111606
診所	南竹中醫診所	桃園市蘆竹區中正路335號1樓	03-2124167
診所	南崁風澤中醫診所	桃園市蘆竹區中正路355號1樓	03-2128002
診所	維成牙醫診所	桃園市蘆竹區五福路86號1樓	03-3116110
診所	五福中醫診所	桃園市蘆竹區五福路88號1、2樓	03-3120133
診所	光明中醫診所	桃園市蘆竹區光明路一段117號1樓	03-3117689
診所	劉發森診所	桃園市蘆竹區光明路二段261號	03-3526967
診所	蔡錦文診所	桃園市蘆竹區吉林路101號	03-3229596
診所	玉米田兒童青少年牙醫診所	桃園市蘆竹區吉林路12號3樓	03-2225670
診所	惠康牙醫診所	桃園市蘆竹區吉林路136號1樓	03-3212333
診所	京敦牙醫診所	桃園市蘆竹區吉林路142號1樓	03-2129702
診所	四季牙醫診所	桃園市蘆竹區吉林路149號1、2樓	03-2122120
診所	健成牙醫診所	桃園市蘆竹區奉化路128號	03-2129377
診所	東信牙醫診所	桃園市蘆竹區奉化路184號1樓	03-3225288
診所	南崁天韻中醫診所	桃園市蘆竹區奉化路56號1、2樓	03-2127113
診所	璽悅牙醫診所	桃園市蘆竹區忠孝西路190號1樓、2樓	03-3218891
診所	東暘牙醫診所	桃園市蘆竹區忠孝西路38號	03-2229888
診所	安欣牙醫診所	桃園市蘆竹區長春路94號1樓	03-3218599
診所	康華牙醫診所	桃園市蘆竹區南上路19號1－2樓	03-3530789
診所	吉慶牙醫診所	桃園市蘆竹區南山路一段25號1樓及地下室	03-2127702
診所	永泰牙醫診所	桃園市蘆竹區南山路三段294號1樓	03-3240256
診所	慈護晶采中醫診所	桃園市蘆竹區南竹路2段31號1樓	03-3220919
診所	瑞恩牙醫診所	桃園市蘆竹區南竹路一段70號1樓、桃園街121號2樓	03-3520597
診所	南崁皮膚專科診所	桃園市蘆竹區南竹路一段80號1樓	03-3521521
診所	宏慈牙醫診所	桃園市蘆竹區南竹路一段92號	03-2126022
診所	源泓牙醫診所	桃園市蘆竹區南昌路262之1號	03-2222005
診所	微笑牙醫診所	桃園市蘆竹區南崁中正路391號	03-3527655
診所	芳川牙醫診所	桃園市蘆竹區南崁里南竹路1之7號	03-3227282
診所	聯安中醫診所	桃園市蘆竹區南崁路106號1樓	03-3129628
診所	三三牙醫診所	桃園市蘆竹區南崁路126號	03-3228964
診所	上林牙醫診所	桃園市蘆竹區南崁路203號	03-3528779
診所	宜佑診所	桃園市蘆竹區南崁路236號	03-3226111
診所	亮亮耳鼻喉科診所	桃園市蘆竹區南崁路243號	03-2120506
診所	天莘中醫診所	桃園市蘆竹區南崁路336號	03-3522642
診所	劉賢璟皮膚科診所	桃園市蘆竹區南崁路338號	03-3530308
診所	吉美牙醫診所	桃園市蘆竹區南崁路346－1號	03-3229383
診所	京展牙醫診所	桃園市蘆竹區南崁路59號1樓	03-3113678
診所	永康中醫診所	桃園市蘆竹區南崁路70號1樓	03-3217976
診所	哈佛牙醫診所	桃園市蘆竹區南崁路二九四號1-2樓	03-2120910
診所	銘深牙醫診所	桃園市蘆竹區南崁路二段143號1樓、145號1樓	03-3213563
診所	安康中醫診所	桃園市蘆竹區南順七街27號	03-3227976
診所	林會川診所	桃園市蘆竹區南榮里光明路一段12號	03-3125941
診所	捷登牙醫診所	桃園市蘆竹區南福街82號	03-3223372
診所	謙謙牙醫診所	桃園市蘆竹區福祿一街220號	03-2220308
診所	高橋齒學牙醫診所	桃園市蘆竹區福祿一街78號1樓、2樓	03-3112245
診所	天一牙醫診所	桃園市蘆竹區錦興里中正路411號	03-3525246
診所	振興中醫診所	桃園市觀音區大觀路一段512號1樓	03-3866987
診所	柏泰中醫診所	桃園市觀音區大觀路二段169之1號1樓	03-4761089
診所	揚洋牙醫診所	桃園市觀音區大觀路二段236號1樓至4樓	03-4761222
診所	尚恩牙醫診所	桃園市觀音區大觀路二段265號1樓、2樓	03-4830231
診所	家福牙醫診所	桃園市觀音區中山路59號1樓	03-4737267
診所	大大中醫診所	桃園市觀音區中山路二段755號1樓	03-4986355
診所	晶品牙醫診所	桃園市觀音區中正路136號1樓	03-4731535
診所	觀興診所	桃園市觀音區中正路260號1樓	03-4738895
診所	聯禾診所	桃園市觀音區四維路110號1樓	03-4831023
診所	吉星診所	桃園市觀音區成功路二段899號	03-4836140
診所	旭東牙醫診所	桃園市觀音區忠愛路一段106號1樓及2樓	03-4081638
診所	草漯牙醫診所	桃園市觀音區草漯里大觀路二段180號1樓及2樓	03-4836063
診所	怡安牙醫診所	桃園市觀音區新坡里中山路二段629號	03-4981585
診所	禾悅牙醫診所	桃園縣八德市建國路1180號、1182號、1180－1號	03-3661222
診所	仁安堂中醫診所	桃園縣八德區介壽路一段811號1樓	03-2182000
診所	大漢中醫診所	桃園縣中壢市龍東路38號1樓	03-4385999
診所	風采矯正牙醫診所	桃園縣桃園市中正路888號1樓、888號2樓、890號2樓	03-3466620
診所	安生中醫診所	桃園縣桃園市春日路266號1樓	03-3397111
診所	上雅牙醫診所	高雄市三民區九如一路101號	07-3906689
診所	巫眼科診所	高雄市三民區九如一路12號	07-3854934
診所	高悅診所	高雄市三民區九如一路162號1－5樓	07-3820123
診所	和平醫療社團法人進興診所	高雄市三民區九如一路171號1樓	07-3869559
診所	心樂是診所	高雄市三民區九如一路333號1－2樓	07-3847373
診所	昌億小兒科診所	高雄市三民區九如一路439號1樓	07-3855137
診所	王婦產科診所	高雄市三民區九如一路440，442，444號1，2樓	07-3873979
診所	蕭穎士中醫診所	高雄市三民區九如一路72號	07-3841510
診所	至真中醫診所	高雄市三民區九如一路784號1樓	07-3892502
診所	進明眼科診所	高雄市三民區九如一路807號1－2樓	07-3981199
診所	蕭家文牙醫診所	高雄市三民區九如一路879號	07-3865090
診所	趙望吉中醫診所	高雄市三民區九如一路913號一樓	07-3825252
診所	九如中醫診所	高雄市三民區九如二路 456號1樓、458號1樓	07-3220322
診所	高照星皮膚科診所	高雄市三民區九如二路275．277號一樓	07-3220664
診所	大德牙醫診所	高雄市三民區九如二路282號	07-3137777
診所	九大九如診所	高雄市三民區九如二路331號1樓	07-3210999
診所	拉菲爾健康管理診所	高雄市三民區九如二路366號10樓及10樓－1	07-3223879
診所	郭眼科診所	高雄市三民區九如二路388號1樓	07-3137339
診所	金龍牙醫診所	高雄市三民區九如二路402號	07-3128662
診所	楊英隆內兒科診所	高雄市三民區九如二路419號	07-3116281
診所	同慶中醫診所	高雄市三民區九如二路425號	07-3129773
診所	齊德中醫診所	高雄市三民區九如二路441號443號一樓	07-3217306
診所	謝智新骨科診所	高雄市三民區九如二路471號1樓及2樓	07-3120303
診所	蓶登美學牙醫診所	高雄市三民區九如二路476號1樓	07-3210565
診所	廣吉牙醫診所	高雄市三民區九如二路491號1Ｆ	07-3222135
診所	全一耳鼻喉科診所	高雄市三民區九如二路570號	07-3219376
診所	健生外科診所	高雄市三民區九如二路68號	07-3117877
診所	施秉昌診所	高雄市三民區力行路108號	07-3210673
診所	承安耳鼻喉科診所	高雄市三民區力行路250號1樓	07-3160789
診所	正耀牙醫診所	高雄市三民區力行路94號1Ｆ	07-3157391
診所	鉑氏美中醫診所	高雄市三民區十全一路215號1樓	07-3223480
診所	晶品診所	高雄市三民區十全一路223號1樓	07-3222517
診所	福欣耳鼻喉科診所	高雄市三民區十全一路365號1樓	07-3120269
診所	王堯庭牙醫診所	高雄市三民區十全一路399號1樓	07-3219200
診所	葉牙醫診所	高雄市三民區十全一路419號	07-3119987
